,Unnamed: 0,ACCESS,ACR,나이,BATH,침실 수,BLD,COW,월 전기료,FESRP,FKITP,FPARC,FSCHP,FTAXP,월 가스비,HHL,HHT,가계 소득,LANX,결혼 상태,MV,자녀 수,R18,R65,RAC1P,방 수,RWAT,SCH,SCHL,SEX,주택 가격비교
11734,12238,1.0,1.0,44,1.0,3.0,2.0,1,200.0,0,0.0,2,0,0.0,180.0,1.0,1.0,36200.0,2,1,1.0,3.0,1.0,0.0,9,5.0,1.0,1,19,1,0.0
11735,12239,1.0,1.0,34,1.0,3.0,2.0,7,200.0,0,0.0,2,0,0.0,180.0,1.0,1.0,36200.0,2,1,1.0,3.0,1.0,0.0,1,5.0,1.0,1,17,2,0.0
11736,12240,1.0,1.0,10,1.0,3.0,2.0,0,200.0,0,0.0,2,0,0.0,180.0,1.0,1.0,36200.0,2,5,1.0,3.0,1.0,0.0,9,5.0,1.0,2,7,2,0.0
11737,12241,1.0,1.0,9,1.0,3.0,2.0,0,200.0,0,0.0,2,0,0.0,180.0,1.0,1.0,36200.0,2,5,1.0,3.0,1.0,0.0,9,5.0,1.0,2,6,2,0.0
11738,12242,1.0,1.0,7,1.0,3.0,2.0,0,200.0,0,0.0,2,0,0.0,180.0,1.0,1.0,36200.0,2,5,1.0,3.0,1.0,0.0,9,5.0,1.0,2,4,2,0.0
11739,12243,3.0,1.0,48,1.0,2.0,2.0,4,140.0,0,0.0,4,0,0.0,40.0,1.0,1.0,64400.0,2,1,4.0,0.0,0.0,0.0,1,6.0,1.0,1,19,2,1.0
11740,12244,3.0,1.0,54,1.0,2.0,2.0,1,140.0,0,0.0,4,0,0.0,40.0,1.0,1.0,64400.0,2,1,4.0,0.0,0.0,0.0,1,6.0,1.0,1,16,1,1.0
11741,12245,1.0,1.0,66,1.0,3.0,2.0,1,50.0,0,0.0,4,0,0.0,60.0,1.0,1.0,76000.0,2,1,5.0,0.0,0.0,1.0,1,10.0,1.0,1,21,1,1.0
11742,12246,1.0,1.0,59,1.0,3.0,2.0,3,50.0,0,0.0,4,0,0.0,60.0,1.0,1.0,76000.0,2,1,5.0,0.0,0.0,1.0,1,10.0,1.0,1,19,2,1.0
11743,12247,1.0,1.0,76,1.0,2.0,2.0,1,240.0,0,0.0,4,0,0.0,70.0,1.0,3.0,35830.0,2,2,5.0,0.0,0.0,1.0,1,5.0,1.0,1,19,2,0.0
11744,12248,1.0,1.0,30,1.0,2.0,2.0,3,240.0,0,0.0,4,0,0.0,70.0,1.0,3.0,35830.0,2,5,5.0,0.0,0.0,1.0,1,5.0,1.0,1,16,1,0.0
11745,12249,1.0,2.0,70,1.0,3.0,2.0,0,180.0,0,0.0,0,0,0.0,70.0,1.0,6.0,300.0,2,2,5.0,0.0,0.0,1.0,1,5.0,1.0,1,19,2,1.0
11746,12250,1.0,1.0,60,1.0,3.0,2.0,0,200.0,0,0.0,4,0,0.0,4.0,1.0,1.0,22600.0,2,1,4.0,0.0,0.0,0.0,1,6.0,1.0,1,16,2,0.0
11747,12251,1.0,1.0,64,1.0,3.0,2.0,0,200.0,0,0.0,4,0,0.0,4.0,1.0,1.0,22600.0,2,1,4.0,0.0,0.0,0.0,1,6.0,1.0,1,13,1,0.0
11748,12252,1.0,1.0,27,1.0,3.0,2.0,2,150.0,0,0.0,1,0,0.0,50.0,1.0,1.0,45000.0,2,1,3.0,3.0,1.0,0.0,1,5.0,1.0,1,21,2,0.0
11749,12253,1.0,1.0,28,1.0,3.0,2.0,2,150.0,0,0.0,1,0,0.0,50.0,1.0,1.0,45000.0,2,1,3.0,3.0,1.0,0.0,1,5.0,1.0,1,21,1,0.0
11750,12254,1.0,1.0,2,1.0,3.0,2.0,0,150.0,0,0.0,1,0,0.0,50.0,1.0,1.0,45000.0,0,5,3.0,3.0,1.0,0.0,2,5.0,1.0,0,0,1,0.0
11751,12255,1.0,1.0,2,1.0,3.0,2.0,0,150.0,0,0.0,1,0,0.0,50.0,1.0,1.0,45000.0,0,5,3.0,3.0,1.0,0.0,2,5.0,1.0,0,0,1,0.0
11752,12256,1.0,1.0,1,1.0,3.0,2.0,0,150.0,0,0.0,1,0,0.0,50.0,1.0,1.0,45000.0,0,5,3.0,3.0,1.0,0.0,2,5.0,1.0,0,0,2,0.0
11753,12257,1.0,1.0,55,1.0,4.0,2.0,1,150.0,0,0.0,4,0,0.0,80.0,4.0,1.0,163700.0,2,1,6.0,0.0,0.0,0.0,1,7.0,1.0,1,20,1,1.0
11754,12258,1.0,1.0,52,1.0,4.0,2.0,6,150.0,0,0.0,4,0,0.0,80.0,4.0,1.0,163700.0,1,1,6.0,0.0,0.0,0.0,6,7.0,1.0,1,15,2,1.0
11755,12259,1.0,1.0,20,1.0,4.0,2.0,1,150.0,0,0.0,4,0,0.0,80.0,4.0,1.0,163700.0,2,5,6.0,0.0,0.0,0.0,9,7.0,1.0,2,15,1,1.0
11756,12260,1.0,2.0,66,1.0,2.0,2.0,1,60.0,0,0.0,4,0,0.0,120.0,1.0,1.0,80600.0,2,1,5.0,0.0,0.0,2.0,1,4.0,1.0,1,16,2,1.0
11757,12261,1.0,2.0,65,1.0,2.0,2.0,1,60.0,0,0.0,4,0,0.0,120.0,1.0,1.0,80600.0,2,1,5.0,0.0,0.0,2.0,1,4.0,1.0,1,19,1,1.0
